,0
-6111,1
2597,1
1501,1
989,1
-988,1
1060,1
-2524,1
-987,1
1061,1
-1499,1
-3548,1
-2011,1
-3626,1
-983,1
-2511,1
1048531,1
1069,1
2002,1
-1491,1
2607,1
-978,1
-2605,1
-1490,1
-1048622,1
2001,1
1489,1
-3120,1
-1071,1
977,1
-2608,1
1048529,1
-5075,1
-6099,1
-1584,1
-6605,1
-979,1
979,1
-5589,1
-6098,1
-1495,1
1577,1
-1578,1
982,1
1048534,1
19491,1
-5673,1
981,1
-2604,1
-4053,1
-1493,1
1579,1
1048532,1
-980,1
1068,1
-1492,1
-1048532,1
-3630,1
-1581,1
-3977,1
1048513,1
1420,1
2265,1
-713,1
1989,1
-2250,1
1753,1
1242,1
3291,1
-1830,1
732,1
-3788,1
1574,1
1244,1
-2252,1
1844,1
-3275,1
-2340,1
733,1
1843,1
-1315,1
-1827,1
-2762,1
-1834,1
-2878,1
824,1
1235,1
1747,1
1339,1
827,1
-709,1
-4906,1
-812,1
1338,1
826,1
-2757,1
-3883,1
-1836,1
2772,1
725,1
-1323,1
726,1
3385,1
1336,1
-3271,1
-2337,1
-802,1
1758,1
1842,1
2038,1
-2258,1
-798,1
-1746,1
1250,1
-1310,1
-5408,1
-3869,1
-797,1
-1747,1
1325,1
-1235,1
1048699,1
4326,1
8928,1
-796,1
-1748,1
-1236,1
812,1
-5405,1
815,1
-3282,1
736,1
1330,1
735,1
-718,1
-1313,1
3888,1
-1231,1
-3874,1
-2768,1
2785,1
-5331,1
2784,1
1840,1
1328,1
-1232,1
816,1
2353,1
-2848,1
-7380,1
-813,1
2258,1
-5936,1
-2747,1
839,1
2374,1
1048617,1
-1210,1
-3257,1
1736,1
6981,1
713,1
13007,1
-2872,1
-1723,1
837,1
-2748,1
1225,1
37207,1
1737,1
1226,1
1860,1
-821,1
-1721,1
-2231,1
-4406,1
1865,1
-5434,1
709,1
1221,1
1354,1
842,1
-694,1
1733,1
-1851,1
841,1
-1337,1
711,1
-4923,1
1864,1
1917,1
1352,1
3270,1
840,1
-696,1
836,1
2253,1
1746,1
-2867,1
-1840,1
-2352,1
1343,1
-1217,1
831,1
-705,1
2768,1
-4291,1
721,1
1854,1
24373,1
-1730,1
-815,1
-8902,1
-814,1
1234,1
1341,1
-1326,1
-2756,1
1744,1
832,1
-3263,1
-1331,1
-1725,1
1347,1
-1213,1
-2750,1
1228,1
1048538,1
-819,1
-1214,1
1230,1
-1216,1
-817,1
-4288,1
-1329,1
-1727,1
1345,1
-2351,1
-4797,1
2368,1
-1820,1
-2332,1
741,1
770,1
791,1
-3332,1
2326,1
-770,1
1278,1
-1794,1
-2306,1
767,1
1279,1
-1771,1
1301,1
-1793,1
-767,1
-2559,1
769,1
-748,1
-1279,1
1281,1
1811,1
1277,1
-5355,1
-3818,1
-775,1
-741,1
-776,1
-2278,1
-1288,1
-1766,1
1306,1
794,1
1784,1
1273,1
28915,1
762,1
-3304,1
-1255,1
-774,1
2840,1
-743,1
-1256,1
1276,1
-1773,1
-1261,1
-2275,1
-3325,1
-4347,1
2310,1
28929,1
-4339,1
-2810,1
775,1
-1047823,1
1287,1
-2801,1
-1785,1
7950,1
1293,1
-759,1
1289,1
2315,1
778,1
25862,1
-757,1
-1781,1
1965,1
-2298,1
-1274,1
-750,1
-6896,1
-1278,1
1282,1
1048577,1
-2814,1
771,1
-1277,1
786,1
-5887,1
22797,1
2309,1
-1775,1
772,1
-1263,1
-763,1
-1275,1
-1787,1
2311,1
795,1
-777,1
1048675,1
2287,1
-2837,1
-2778,1
1258,1
1259,1
1318,1
